step,omega_rad_s,frequency_hz
66,0.3500151225180963,0.05570663690567039
67,0.2676915717898266,0.04260443687438987
68,0.2813505921257068,0.04477833747863792
69,0.3286157684510473,0.052300823926925886
70,0.38801770639436783,0.06175493597984337
71,0.3136682641744677,0.049921854734421
72,0.33238866460617333,0.05290129899978661
73,0.38287800938878586,0.060936927795410385
74,0.3105014552136489,0.049417841434478985
75,0.33065989147766195,0.052626156210899576
76,0.3821540348721127,0.060821703672409286
77,0.315424926841376,0.05020143628120445
78,0.3382194544113444,0.0538292980194094
79,0.3912384031714876,0.062267525792122115
80,0.33180998383619653,0.05280919909477257
81,0.35786877458588595,0.056956584453583
82,0.2969457051908205,0.047260376811027766
83,0.32195428273388577,0.051240615546703575
84,0.37621462117592064,0.05987641662359262
85,0.33145416658115107,0.0527525690197947
86,0.36297108268229833,0.05776864200830483
87,0.31705123671948177,0.05046027153730416
88,0.3480052163261216,0.05538675040006661
89,0.30746970284990816,0.048935323059559103
90,0.34016237253116854,0.054138523042202236
91,0.3052069987962306,0.04857520252466225
92,0.3398780692657106,0.05409327477216744
93,0.3100272113461169,0.04934236317873024
94,0.34668287320499425,0.05517629295587563
95,0.3213847474255398,0.051149971187114944
96,0.35998899931318473,0.057294028699398265
97,0.33868139572299705,0.053902818262577284
98,0.3791775597457478,0.06034798294305824
99,0.44196285784885664,0.07034057348966621
100,0.4324172991244208,0.06882135063409828
101,0.47930143701889544,0.07628319293260596
102,0.4667680350072509,0.07428844004869482
103,0.5134826410601582,0.08172330051660559
104,0.5027191742445046,0.08001024156808875
105,0.5509078324706302,0.08767970472574257
106,0.5419876855031616,0.08626001924276375
107,0.5917111596678458,0.0941737559437754
108,0.5842096528136893,0.09297985404729865
109,0.6353383335245809,0.1011172363162043
110,0.628804515380829,0.10007734686136267
111,0.6811757018045566,0.10841248005628606
112,0.7551593854803452,0.120187349021435
113,0.757595006919126,0.12057499021291755
114,0.8155898919965897,0.1298051628470423
115,0.812346653641437,0.12928898543119452
116,0.8692687783166383,0.13834842294454597
117,0.8651779594001245,0.13769734889268895
118,0.9225875274430702,0.14683436542749426
119,0.9179457899625869,0.14609560996294044
120,0.9758664814526756,0.15531397432088873
121,1.05642175979616,0.16813474506139778
122,1.0599952609192826,0.16870348542928718
123,1.1226353401771008,0.17867296367883703
124,1.11895689469451,0.1780875208973887
125,1.1796258685610197,0.1877432879805567
126,1.1741105222807091,0.18686549335718178
127,1.2345720529591773,0.19648824483156227
128,1.2277595341751109,0.1954039987921717
129,1.2881322991977333,0.20501262277364754
130,1.2800208514719484,0.20372164577245738
131,1.3402487384506758,0.21330721169710185
132,1.330806390118167,0.21180441528558755
133,1.3908325638663859,0.22135787755250955
134,1.3800488062599394,0.21964158922433877
135,1.4398391154817398,0.22915751248598124
136,1.4277322357795472,0.22723064273595833
137,1.3880051181943247,0.2209078755974772
138,1.4373421048508814,0.2287601009011271
139,1.4178128778451025,0.22565192788839364
140,1.474459530130573,0.2346675226092341
141,1.4562939618612825,0.23177638262510322
142,1.5136791195361239,0.24090951412916203
143,1.494658012431121,0.23788221091032047
144,1.5520224373968763,0.24701204270124455
145,1.531963447729156,0.2438195553421976
146,1.589265498549349,0.2529394599795343
147,1.5682505647116314,0.24959482938051242
148,1.5175941635789085,0.2415326127409937
149,1.5640157778033015,0.24892084211111087
150,1.5359688303573054,0.244457031786442
151,1.5907493852771304,0.2531756278872492
152,1.5647954078094493,0.24904492408037207
153,1.62074632340818,0.2579497888684275
154,1.5945008146893949,0.2537726864218714
155,1.650818784626555,0.2627359697222712
156,1.6241197329162267,0.2584866836667063
157,1.5664167873025276,0.2493029746413233
158,1.6116971887300269,0.25650957435369515
159,1.5783805154382258,0.25120706111192725
160,1.6327857019635932,0.25986591547727605
161,1.6021401700905253,0.2549885275959971
